freq=960.00Hz 
type, time, id, pos_x, pos_y, pos_z, rot_w, rot_x, rot_y, rot_z, cond
C, 0, 0, 879.885010, 748.673889, 1349.899170, -0.960051, -0.084254, -0.265409, 0.027593, 2.00
C, 0, 1, 2445.209229, 826.439453, -863.946167, -0.597113, -0.078130, -0.793529, 0.087538, 2.00
C, 0, 2, 1241.606934, 2415.504639, -790.494995, -0.499262, 0.222234, -0.765585, -0.339454, 2.00
C, 0, 3, 1193.739624, 2406.297363, 324.480499, -0.624059, 0.330092, -0.631399, -0.320819, 2.00
C, 0, 4, 1158.789917, 2406.750000, 1305.758545, -0.800205, 0.317607, -0.451730, -0.233961, 2.00
C, 0, 5, -434.092651, 636.106079, 1436.338013, -0.987850, -0.149713, 0.041592, 0.003053, 2.00
C, 0, 6, -1322.776245, 2394.458008, 1212.303467, -0.765873, 0.269062, 0.543092, 0.214700, 2.00
C, 0, 7, -1288.745728, 2400.091797, 308.675659, -0.646012, 0.226348, 0.690553, 0.233606, 2.00
C, 0, 8, -1244.507446, 2408.310791, -841.330017, -0.525188, 0.153922, 0.802554, 0.237472, 2.00
C, 0, 9, -109.826233, 801.236572, -1185.038452, 0.033466, 0.017424, 0.987788, -0.151168, 2.00
M, 106012500, 0, -313.145721, 818.591125, -181.380829, 1, 0, 0, 0, 3.57
M, 106012500, 1, -240.631119, 810.139160, -166.021072, 1, 0, 0, 0, 4.00
M, 106012500, 2, -316.344330, 816.918762, -223.883347, 1, 0, 0, 0, 4.00
M, 106012500, 3, -211.838150, 810.033264, -161.412521, 1, 0, 0, 0, 4.00
M, 106012500, 4, -268.260895, 816.422180, -174.997192, 1, 0, 0, 0, 3.32
M, 106012500, 5, -176.459839, 810.649170, -162.381668, 1, 0, 0, 0, 4.00
M, 106012500, 6, -152.804626, 811.591614, -163.470352, 1, 0, 0, 0, 4.00
M, 106012500, 7, -130.020401, 811.070984, -167.775177, 1, 0, 0, 0, 4.00
M, 106013542, 0, -313.144501, 818.591370, -181.381241, 1, 0, 0, 0, 4.00
M, 106013542, 1, -240.653107, 810.128296, -166.044083, 1, 0, 0, 0, 3.34
